rowType,productKey,variantKey,name,description,categoryName,status,currency,price,compareAtPrice,costPrice,chargeTax,trackInventory,stock,lowStockThreshold,allowBackorder,physicalProduct,weightKg,widthCm,heightCm,lengthCm,option1Name,option1Value,option2Name,option2Value,useProductPricing,useProductInventory,useProductShipping,imageUrl,mediaKeys,imageKey
Product,breakaway-cat-collar,,Vòng cổ an toàn cho mèo,Vòng cổ điều chỉnh được với khóa tự bung và chuông nhỏ,Phụ kiện cho mèo,Active,VND,69000,89000,32000,true,true,120,15,false,true,0.05,2,1,20,,,,,,,,,,
Variant,breakaway-cat-collar,breakaway-cat-collar-red,,,,,,,,,,,,,,,,,,,Màu,Đỏ,Size,Một cỡ,true,false,true,,,
Variant,breakaway-cat-collar,breakaway-cat-collar-blue,,,,,,,,,,,,,,,,,,,Màu,Xanh dương,Size,Một cỡ,true,false,true,,,
Variant,breakaway-cat-collar,breakaway-cat-collar-pink,,,,,,,,,,,,,,,,,,,Màu,Hồng,Size,Một cỡ,true,false,true,,,
Variant,breakaway-cat-collar,breakaway-cat-collar-black,,,,,,,,,,,,,,,,,,,Màu,Đen,Size,Một cỡ,true,false,true,,,
Product,cat-harness-leash-set,,Bộ dây đai và dây dắt cho mèo,Dây đai mềm thoáng khí kèm dây dắt để đưa mèo đi dạo an toàn,Phụ kiện cho mèo,Active,VND,159000,199000,82000,true,true,80,10,false,true,0.18,18,4,22,,,,,,,,,,
Variant,cat-harness-leash-set,cat-harness-red-s,,,,,,159000,199000,82000,true,true,15,5,false,true,0.16,16,4,20,Màu,Đỏ,Size,S,false,false,true,,,
Variant,cat-harness-leash-set,cat-harness-red-m,,,,,,169000,209000,87000,true,true,15,5,false,true,0.18,18,4,22,Màu,Đỏ,Size,M,false,false,true,,,
Variant,cat-harness-leash-set,cat-harness-blue-s,,,,,,159000,199000,82000,true,true,15,5,false,true,0.16,16,4,20,Màu,Xanh dương,Size,S,false,false,true,,,
Variant,cat-harness-leash-set,cat-harness-blue-m,,,,,,169000,209000,87000,true,true,15,5,false,true,0.18,18,4,22,Màu,Xanh dương,Size,M,false,false,true,,,
Product,ceramic-cat-bowl,,Bát gốm ăn cho mèo,Bát gốm nặng chống lật với miệng thấp thân thiện với râu mèo,Phụ kiện cho mèo,Active,VND,129000,159000,65000,true,true,90,12,false,true,0.55,14,5,14,,,,,,,,,,
Variant,ceramic-cat-bowl,ceramic-cat-bowl-white,,,,,,,,,,,,,,,,,,,Màu,Trắng,Size,Một cỡ,true,false,true,,,
Variant,ceramic-cat-bowl,ceramic-cat-bowl-green,,,,,,,,,,,,,,,,,,,Màu,Xanh lá,Size,Một cỡ,true,false,true,,,
Variant,ceramic-cat-bowl,ceramic-cat-bowl-pink,,,,,,,,,,,,,,,,,,,Màu,Hồng,Size,Một cỡ,true,false,true,,,
Product,interactive-feather-wand,,Cần câu lông vũ cho mèo,Cần câu dẻo với lông vũ kích thích mèo vận động và săn mồi,Đồ chơi cho mèo,Active,VND,59000,79000,25000,true,true,160,20,false,true,0.04,6,2,42,,,,,,,,,,
Variant,interactive-feather-wand,feather-wand-natural,,,,,,,,,,,,,,,,,,,Màu,Tự nhiên,Gói,1 cây,true,false,true,,,
Variant,interactive-feather-wand,feather-wand-rainbow,,,,,,,,,,,,,,,,,,,Màu,Cầu vồng,Gói,1 cây,true,false,true,,,
Variant,interactive-feather-wand,feather-wand-3pack,,,,,,149000,189000,69000,true,true,40,8,false,true,0.12,8,4,42,Màu,Nhiều màu,Gói,3 cây,false,false,true,,,
Product,catnip-mouse-toy,,Chuột bông catnip,Đồ chơi chuột bông mềm nhồi catnip cho mèo rượt đuổi và vờn,Đồ chơi cho mèo,Active,VND,49000,69000,21000,true,true,200,25,false,true,0.03,5,4,10,,,,,,,,,,
Variant,catnip-mouse-toy,catnip-mouse-gray-single,,,,,,,,,,,,,,,,,,,Màu,Xám,Gói,1 con,true,false,true,,,
Variant,catnip-mouse-toy,catnip-mouse-brown-single,,,,,,,,,,,,,,,,,,,Màu,Nâu,Gói,1 con,true,false,true,,,
Variant,catnip-mouse-toy,catnip-mouse-mixed-3pack,,,,,,119000,149000,58000,true,true,60,10,false,true,0.09,8,5,12,Màu,Nhiều màu,Gói,3 con,false,false,true,,,
Product,crinkle-ball-set,,Bộ bóng giấy sột soạt,Những quả bóng nhẹ tạo âm thanh vui tai khi mèo đuổi bắt,Đồ chơi cho mèo,Active,VND,39000,59000,15000,true,true,180,25,false,true,0.02,8,3,12,,,,,,,,,,
Variant,crinkle-ball-set,crinkle-ball-4pack,,,,,,,,,,,,,,,,,,,Màu,Nhiều màu,Gói,4 quả,true,false,true,,,
Variant,crinkle-ball-set,crinkle-ball-8pack,,,,,,69000,89000,28000,true,true,80,12,false,true,0.04,10,4,14,Màu,Nhiều màu,Gói,8 quả,false,false,true,,,
Product,cat-scratcher-board,,Bàn cào móng cho mèo,Bàn cào móng bằng giấy carton sóng cho mèo mài móng và nằm chơi,Đồ chơi cho mèo,Active,VND,99000,129000,48000,true,true,75,10,false,true,0.45,45,4,18,,,,,,,,,,
Variant,cat-scratcher-board,scratcher-board-small,,,,,,99000,129000,48000,true,true,30,5,false,true,0.35,38,4,16,Màu,Tự nhiên,Size,S,false,false,true,,,
Variant,cat-scratcher-board,scratcher-board-large,,,,,,149000,189000,76000,true,true,45,8,false,true,0.6,55,5,22,Màu,Tự nhiên,Size,L,false,false,true,,,
Product,cat-hoodie,,Áo hoodie cho mèo,Áo hoodie nỉ mềm co giãn thoải mái cho mèo,Thời trang cho mèo,Active,VND,179000,229000,92000,true,true,70,10,false,true,0.12,18,3,24,,,,,,,,,,
Variant,cat-hoodie,cat-hoodie-gray-s,,,,,,179000,229000,92000,true,true,12,4,false,true,0.1,16,3,22,Màu,Xám,Size,S,false,false,true,,,
Variant,cat-hoodie,cat-hoodie-gray-m,,,,,,189000,239000,98000,true,true,12,4,false,true,0.12,18,3,24,Màu,Xám,Size,M,false,false,true,,,
Variant,cat-hoodie,cat-hoodie-pink-s,,,,,,179000,229000,92000,true,true,12,4,false,true,0.1,16,3,22,Màu,Hồng,Size,S,false,false,true,,,
Variant,cat-hoodie,cat-hoodie-pink-m,,,,,,189000,239000,98000,true,true,12,4,false,true,0.12,18,3,24,Màu,Hồng,Size,M,false,false,true,,,
Product,cat-raincoat,,Áo mưa cho mèo,Áo mưa mỏng chống nước có nút bấm để mặc nhanh cho mèo,Thời trang cho mèo,Draft,VND,199000,249000,105000,true,true,55,8,false,true,0.11,18,2,26,,,,,,,,,,
Variant,cat-raincoat,cat-raincoat-yellow-s,,,,,,199000,249000,105000,true,true,10,3,false,true,0.1,16,2,24,Màu,Vàng,Size,S,false,false,true,,,
Variant,cat-raincoat,cat-raincoat-yellow-m,,,,,,209000,259000,110000,true,true,10,3,false,true,0.11,18,2,26,Màu,Vàng,Size,M,false,false,true,,,
Variant,cat-raincoat,cat-raincoat-blue-s,,,,,,199000,249000,105000,true,true,10,3,false,true,0.1,16,2,24,Màu,Xanh dương,Size,S,false,false,true,,,
Variant,cat-raincoat,cat-raincoat-blue-m,,,,,,209000,259000,110000,true,true,10,3,false,true,0.11,18,2,26,Màu,Xanh dương,Size,M,false,false,true,,,
Product,bow-tie-bandana,,Khăn yếm nơ cho mèo,Khăn yếm có điều chỉnh kèm nơ rời phù hợp chụp ảnh và dự tiệc,Thời trang cho mèo,Active,VND,89000,119000,42000,true,true,100,12,false,true,0.04,12,1,18,,,,,,,,,,
Variant,bow-tie-bandana,bow-tie-red-plaid,,,,,,,,,,,,,,,,,,,Màu,Đỏ caro,Size,Một cỡ,true,false,true,,,
Variant,bow-tie-bandana,bow-tie-navy-star,,,,,,,,,,,,,,,,,,,Màu,Xanh sao,Size,Một cỡ,true,false,true,,,
Variant,bow-tie-bandana,bow-tie-yellow-dot,,,,,,,,,,,,,,,,,,,Màu,Vàng chấm bi,Size,Một cỡ,true,false,true,,,
Product,cat-bed-cave,,Ổ đệm hang cho mèo,Ổ đệm dạng hang ấm áp có nệm mềm cho mèo ngủ và ẩn nấp,Phụ kiện cho mèo,Active,VND,399000,499000,215000,true,true,40,6,false,true,1.2,42,35,42,,,,,,,,,,
Variant,cat-bed-cave,cat-bed-cave-gray,,,,,,,,,,,,,,,,,,,Màu,Xám,Size,Một cỡ,true,false,true,,,
Variant,cat-bed-cave,cat-bed-cave-beige,,,,,,,,,,,,,,,,,,,Màu,Be,Size,Một cỡ,true,false,true,,,
Product,stainless-litter-scoop,,Xẻng xúc cát inox,Xẻng xúc cát vệ sinh bằng inox bền chắc với tay cầm dễ cầm,Phụ kiện cho mèo,Active,VND,139000,179000,69000,true,true,85,10,false,true,0.18,12,4,32,,,,,,,,,,
Variant,stainless-litter-scoop,litter-scoop-silver,,,,,,,,,,,,,,,,,,,Màu,Bạc,Size,Một cỡ,true,false,true,,,
Product,cat-costume-cape,,Áo choàng hóa trang cho mèo,Áo choàng nhẹ dùng chụp ảnh lễ hội và các dịp vui cho mèo,Thời trang cho mèo,Draft,VND,129000,169000,62000,true,true,60,8,false,true,0.06,18,1,22,,,,,,,,,,
Variant,cat-costume-cape,cat-cape-red-s,,,,,,129000,169000,62000,true,true,12,3,false,true,0.05,16,1,20,Màu,Đỏ,Size,S,false,false,true,,,
Variant,cat-costume-cape,cat-cape-red-m,,,,,,139000,179000,67000,true,true,12,3,false,true,0.06,18,1,22,Màu,Đỏ,Size,M,false,false,true,,,
Variant,cat-costume-cape,cat-cape-purple-s,,,,,,129000,169000,62000,true,true,12,3,false,true,0.05,16,1,20,Màu,Tím,Size,S,false,false,true,,,
Variant,cat-costume-cape,cat-cape-purple-m,,,,,,139000,179000,67000,true,true,12,3,false,true,0.06,18,1,22,Màu,Tím,Size,M,false,false,true,,,
